Hato,Lote,Grupo,Ubicación,ID,Referencia,Color,Raza,Sexo/ tipo,Padre,Madre gen.,Madre ,Edad,Estado,Nacimiento,Peso nacim.,Destete,Peso destete,kg/d destete,Fecha ultimo peso,Ultimo peso,kg/d dest/últ,kg/d nac./últ.,Entrada,Origen,Peso entrada,Valor entrada,Salida,Destino,Peso salida,Valor salida,kg ganados,$ ganados,kg/d,$/d,Int. entre partos,No. crías,kg.prom. nacim.,kg dest. (vida),Valor prom. destete,kg/d al destete /IEP,$/d  al destete,Leche lact. (vida),Leche 305d (vida),Leche vida vs.hato,Prot. vida vs.hato,Grasa vida vs.hato,Leche /día/IEP,Prot /día,Grasa /día,Costo /día,P,Ult. parto,1er. celo,Ult. celo,Toro programado,1er ser,# ser,Ult. servicio,Toro últ.serv.,Dias serv,Ult. diag. preñez,Ult. resultado,Preñada del toro,Concepción,Días preñez,No. crías.1,Destete.1,kg dest.,$ dest.,Secado,Leche lactan.,Leche 305d,Prot. lac. kg,Prot. 305d  kg,Grasa lact. kg,Grasa 305d kg,Lt  Lact. vs.hato,Prot. lac vs hato,Grasa lac. vs hato,Costo eventos,Prot.% prom,Grasa% prom,Lac.% prom,CSS'000 prom,Fecha últ. leche,Ult. leche,%últ. prot.,%últ. grasa,%últ. lacto.,Ult. CCS '000,Próximo parto ,Nombre,Numero,Registro,Id. Electrónica,Nombre largo,Retiro leche hasta,Retiro carne hasta,Cría (este parto),AM,PM,TOTAL,Fecha inicio lactoinducción,Comentarios,Mes últ. parto,Mes prox. parto,Estado fertilidad,Estado lactancia,Toro últ. parto,Edad 1er. parto,Peso 1er. parto,Inicio servicio,Ult. TE,Donadora,Ult. aborto,No. abo (vida),Tercio lactancia,Días al pico,Prod. al pico,Leche acumulada,Leche/día acum.,Leche/ día vida,Conc./ día ,Conc. acumulado,Conc./leche actual,Conc./leche acumulado,Días secos (actual),Prom. días secos,Kg/día ,kg/día desde entrada,Ult. cond. corporal,Cond. corp.,Abuelo materno,Leche lact. madre,Leche 305d madre,Leche vrs. hato ,kg/dia al destete ,kg/día dest (vida),Reg. leche,Life high SCC,Curr. high SCC,Mast. vida,Mast. act.,Cojera vida,Cojera act.,Prom part -conc.,Vida serv-concep.,Prog. Novillas,Prog. vacas,Prog. machos,Leche vida vs.hato/prom,Leche vida vs.hato_C,Lt Lact. vs.hato/prom,Lt Lact. vs.hato_C,Leche vrs. hato/prom,Leche vrs. hato_C,Hoy,Edad_actual,Leche_prom_mes,Leche_prom_mes_c,DIM,DIM_c,Tercio lactancia (groups),Mast_vida,Mast_activa,Cojera_vida,Cojera_activa,No_crias,Int_entre_partos,label,value
ISLA,,NI,,11                  ,,,HO,He:Rp,7,2187,2187,1a9m,PR,2018-09-29,35.0,2018-09-30,35.4,0.38799999999999996,2020-01-17,355.0,0.674,0.674,,,,,,,395.0,,395.0,,0.809,,0,0,,,,,,,,,,,,,,,0.0,,2020-01-30,2020-01-30,,2020-01-30,1.0,2020-01-30,25.0,156.0,2020-04-06,Cargada,25.0,2020-01-30,156.0,,,,,,,,,,,,,,,$30.600,,,,,,,,,,,2020-11-07,11,11,,900113001750140.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-11-12,,,,,,,,,,,,,,,,,0.713,0.747,,,85,3547.0,3547.0,78.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-22,-22% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,12                  ,,,HO,He:Rp,7,1749,1749,1a9m,PR,2018-09-30,35.0,2018-10-01,35.4,0.354,2020-01-17,352.0,0.669,0.669,,,,,,,400.0,,400.0,,0.73,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-12,2020-02-12,,2020-02-12,1.0,2020-02-12,107.0,143.0,2020-04-22,Cargada He,107.0,2020-02-12,143.0,,,,,,,,,,,,,,,$600,,,,,,,,,,,2020-11-20,12,12,,900113001750125.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-11-13,,,,,,,,,,,,,,,,,0.6759999999999999,0.743,,,,6059.0,5872.0,104.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,4,+4% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,13                  ,,,HO,He:Rp,9,2396,2396,1a9m,PR,2018-09-30,35.0,2018-10-01,35.5,0.45799999999999996,2020-04-01,330.0,0.537,0.537,,,,,,,368.5,,368.5,,0.7340000000000001,,0,0,,,,,,,,,,,,,,,0.0,,2020-05-08,2020-05-08,,2020-05-08,1.0,2020-05-08,110.0,57.0,2020-06-03,Positivo,110.0,2020-05-08,57.0,,,,,,,,,,,,,,,$20.600,,,,,,,,,,,2021-02-14,13,13,,900113001750142.0,,,,,,,,,,,2021/02 (febrero),,,,,,2019-11-13,,,,,,,,,,,,,,,,,0.56,0.601,,,94,6931.0,5781.0,112.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,12,+12% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,15                  ,,,HO,He:Rp,1,,,1a9m,PR,2018-09-30,35.0,2018-10-01,35.6,0.604,2020-04-01,331.0,0.539,0.539,,,,,,,369.5,,369.5,,0.736,,0,0,,,,,,,,,,,,,,,0.0,,2020-05-08,2020-05-08,,2020-05-08,1.0,2020-05-08,110.0,57.0,2020-06-03,Positivo,110.0,2020-05-08,57.0,,,,,,,,,,,,,,,$32.912,,,,,,,,,,,2021-02-14,15,15,,900113001750123.0,,,,,,,,,,,2021/02 (febrero),,,,,,2019-11-13,,,,,,,,,,,,,,,,,0.507,0.603,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,16                  ,,,HO,He:Rp,9,2425,2425,1a9m,PR,2018-10-03,35.0,2018-10-04,35.4,0.37799999999999995,2020-06-10,403.0,0.598,0.597,,,,,,,403.0,,403.0,,,,0,0,,,,,,,,,,,,,,,0.0,,2020-03-12,2020-03-12,,2020-03-12,1.0,2020-03-12,109.0,114.0,2020-05-20,Cargada He,109.0,2020-03-12,114.0,,,,,,,,,,,,,,,$26.756,,,,,,,,,,,2020-12-19,16,16,,900113001750111.0,,,,,,,,,,,2020/12 (diciembre),,,,,,2019-11-16,,,,,,,,,,,,,,,,,0.414,0.654,,,94,5233.0,4988.0,94.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-6,-6% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,20                  ,,,HO,He:Rp,GUTHRIE,PATRICIA TORRES,419 PATRCIA TORRES,2a1m,PR,2018-05-30,35.0,2018-05-31,35.8,0.784,2020-04-01,363.0,0.488,0.488,,,,,,,401.0,,401.0,,0.557,,0,0,,,,,,,,,,,,,,,0.0,,2019-12-04,2020-01-03,,2019-12-04,2.0,2020-01-03,25.0,183.0,2020-03-11,Cargada,25.0,2020-01-03,183.0,,,,,,,,,,,,,,,$30.600,,,,,,,,,,,2020-10-11,419,20,,900113001750180.0,,,,,,,,,,,2020/10 (octubre),,,,,,2019-07-13,,,,,,,,,,,,,,,,,-0.55,0.54,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,28,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
RC,,R 3,,20B                 ,,,HO,He:Rp,98,,JOSE PRIETO,7a3m,Ca/Lac,2013-03-30,35.0,2013-03-31,35.6,0.555,,,,,,,,,,,500.0,,500.0,,0.247,,526,4,35.0,35.5,$50.455,0.067,$96,7628.0,6340.0,112.0,100%,100%,13.5,,,$77,4.0,2019-08-18,2019-10-19,2020-05-31,,2019-10-19,6.0,2020-04-10,108.0,85.0,2020-05-06,Negativo,,,,1.0,2019-08-19,35.5,$1.364,,6452.0,6452.0,,,,,107.0,100%,100%,$55.714,,,,,2020-06-13,16.7,,,,,,20B,20B,,900113000056689.0,,,,MG4279(Ma:Rp),,,,,,2019/08 (agosto),,Ca,Lac,1.0,2a0m,500.0,2020-08-06,,,2020-04-08,2.0,3 >200,40.0,37.5,6402.0,21.3,20.1,5.0,1923.0,0.299,0.3,,141.0,,,,,,,,,,,97.0,5.0,0.0,1,1,0,0,235.0,2.8,,,,12,+12% /Prom,7,+7% /Prom,0,+0% /Prom,2020-10-20,90,71.13,71.13 Lt. Mes,429,429 DIM,3er Terc. Lactancia,1 Mastitis,Activa,0 Cojeras,No Activa,4 Crías,526 Días,R 3,R 3
ISLA,,NI,,21                  ,,,HO,He:Rp,98,PATRICIA TORRES,422 PATRICIA TORRES,2a0m,PR,2018-07-03,35.0,2018-07-04,35.6,0.62,2019-11-07,330.0,0.6,0.6,,,,,,,413.5,,413.5,,0.649,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-13,2020-02-13,,2020-02-13,1.0,2020-02-13,5.0,142.0,2020-04-22,Cargada He,5.0,2020-02-13,142.0,,,,,,,,,,,,,,,$50.600,,,,,,,,,,,2020-11-21,422,21,,900113001750178.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-08-16,,,,,,,,,,,,,,,,,0.406,0.6709999999999999,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,27,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,22                  ,,,HO,He:Rp,GUTHRIE,PATRICIA TORRES,424 PATRICIA TORRES,1a11m,PR,2018-07-19,35.0,2018-07-20,35.7,0.6940000000000001,2020-01-17,390.0,0.649,0.649,,,,,,,430.0,,430.0,,0.768,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-02,2020-02-02,,2020-02-02,1.0,2020-02-02,5.0,153.0,2020-04-06,Cargada,5.0,2020-02-02,153.0,,,,,,,,,,,,,,,$50.000,,,,,,,,,,,2020-11-10,424,22,,900113001750173.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-09-01,,,,,,,,,,,,,,,,,0.775,0.713,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,27,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,23                  ,,,HO,He:Rp,98,PATRICIA TORRES,427 PATRICIA TORRES,1a10m,PR,2018-08-15,35.0,2018-08-16,35.7,0.691,2020-04-01,424.0,0.654,0.654,,,,,,,462.0,,462.0,,0.7190000000000001,,0,0,,,,,,,,,,,,,,,0.0,,2019-11-25,2020-01-08,,2019-11-25,3.0,2020-01-08,22.0,178.0,2020-03-11,Cargada Ma,22.0,2020-01-08,178.0,,,,,,,,,,,,,,,$126.912,,,,,,,,,,,2020-10-16,427,23,,900113001750171.0,,,,,,,,,,,2020/10 (octubre),,,,,,2019-09-28,,,,,,,,,,,,,,,,,0.1,0.713,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,26,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,24                  ,,,HO,He:Rp,98,PATRICIA TORRES,429 PATRICIA TORRES,1a9m,Nc,2018-09-09,35.0,2018-09-10,35.7,0.725,2020-01-17,342.0,0.62,0.62,,,,,,,418.0,,418.0,,0.799,,0,0,,,,,,,,,,,,,,,0.0,,2020-03-27,2020-05-27,,2020-03-27,3.0,2020-05-27,110.0,38.0,2020-05-20,Positivo,,,,,,,,,,,,,,,,,,$90.600,,,,,,,,,,,,429,24,,900113001750168.0,,,,,,,,,,,,,,,,,2019-10-23,,,2020-05-27,1.0,,,,,,,,,,,,,0.662,0.691,,,,,,,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,0,+0% /Prom,2020-10-20,25,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,HO.JU,,25B                 ,,,HO,He:Rp,ERIVAN,,JOSE PRIETO,6a8m,PR/Horra,2013-10-30,35.0,2013-10-31,35.6,0.648,2015-05-08,400.0,0.6579999999999999,0.6579999999999999,,,,,,,500.0,,500.0,,0.253,,420,4,34.2,34.6,$110.000,0.08199999999999999,$262,5449.0,5093.0,88.0,100%,100%,13.0,,,$161,4.0,2019-06-08,2019-07-14,2019-12-07,,2019-08-03,5.0,2019-12-07,1.0,210.0,2020-02-02,Cargada,1.0,2019-12-07,210.0,1.0,2019-06-09,35.5,$110.000,2020-05-30,6327.0,5720.0,,,,,94.0,100%,100%,$85.714,,,,,2020-05-30,10.2,,,,,2020-09-14,25B,25B,,991001000273887.0,,,,M-25B-4(Ma:Rp),,,,,,2019/06 (junio),2020/09 (septiembre),PR,Horra,14.0,2a3m,452.0,2020-05-27,,,,1.0,3 >200,81.0,26.4,6327.0,17.7,16.3,0.0,1663.0,0.0,0.263,107.0,86.0,,,,,,,,,,,89.0,0.0,0.0,9,4,1,0,136.0,2.6,,2304; 2562,,-12,-12% /Prom,-6,-6% /Prom,0,+0% /Prom,2020-10-20,83,76.23,76.23 Lt. Mes,500,500 DIM,3er Terc. Lactancia,9 Mastitis,Activa,1 Cojeras,No Activa,4 Crías,420 Días,HO.JU,HO.JU
ISLA,,NI,,26                  ,,,HO,He:Rp,7,1177,1177,1a8m,Nc,2018-10-10,35.0,2018-10-11,35.4,0.395,2020-06-10,344.0,0.508,0.507,,,,,,,347.0,,347.0,,0.591,,0,0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,$12.912,,,,,,,,,,,,26,26,900113001750116,900113001750110.0,,,,,,,,,,,,,,,,,2019-11-23,,,,,,,,,,,,,,,,,0.8859999999999999,0.565,,,58,5893.0,5826.0,103.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,3,+3% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
