Fecha,Id,Evento,Resultado,Categorías,Toro,Operario,Comentarios,Evento(0)
2020-06-13,9188,2SER,Repetir,Ovsynch,112,FERNANDO,4:30,0
2020-06-13,1902,2SER,Repetir,Ovsynch,112,FERNANDO,4:30,0
2020-06-13,2035,2SER,Repetir,Ovsynch,103,NELSON,5:10,0
2020-06-13,238J,2SER,Repetir,Ovsynch,12,JIMENEZ,5:30,0
2020-06-13,1470,2SER,Repetir,Ovsynch,1,FERNANDO,4:30,0
2020-06-13,1426,1PAR,>,H,22,,,0
2020-06-13,1901,2SER,Repetir,Ovsynch,103,NELSON,6:25,0
2020-06-13,9040,2SER,Repetir,Inseminación,102,FERNANDO,5:00,0
2020-06-13,1733B,1PAR,>,M,101,,,0
2020-06-13,1374,2SER,Repetir,Ovsynch,103,NELSON,5:20,0
2020-06-11,1829,2SER,Repetir,Toro,80,,,0
2020-06-11,1706,2SER,Repetir,Inseminación,103,FERNANDO,15:40,0
2020-06-11,1736,2SER,Repetir,Inseminación,1,FERNANDO,16:00,0
2020-06-10,1854,EXREP,INR,,,,,0
2020-06-10,8100,EXREP,CLD,,,,ette y sv,0
2020-06-10,1469,EXREP,SUCIA,,,,ette,0
2020-06-10,1682,EXREP,CLD,,,,ette sv,0
2020-06-10,1840,EXREP,INR,,,,,0
2020-06-10,1686,EXREP,INR,,,,,0
2020-06-10,1695,EXREP,SUCIA,,,,ette,0
2020-06-10,1641,EXREP,INR,,,,,0
2020-06-10,1883,EXREP,INR,,,,,0
2020-06-10,1045,EXREP,INR,,,,o lisos over b,0
2020-06-10,1856,2SER,Repetir,Inseminación/Toro,80,,sv 102,0
2020-06-10,1271,EXREP,SUCIA,,,,ette purgar panacur,0
2020-06-10,1697,EXREP,SV,,,,ojo al celo sv,0
2020-06-10,1435,EXREP,SUCIA,,,,2 b oxi ette,0
2020-06-10,1582,EXREP,INR,,,,,0
2020-06-10,1793B,EXREP,SUCIA,,,,1 b cefalexina,0
2020-06-10,1836,EXREP,INR,,,,,0
2020-06-10,9152,EXREP,INR,,,,,0
2020-06-10,1036,EXREP,INR,,,,,0
2020-06-09,1099,1PAR,>,M,101,,,0
2020-06-08,1840,CA,>,,,,,0
2020-06-08,1735B,CA,>,,,,,0
2020-06-08,1909,1PAR,>,M,22,,,0
2020-06-07,1872,2SER,Repetir,Inseminación,80,JIMENEZ,sv 102,0
2020-06-07,1630,VAREP,,,,,,0
2020-06-07,1735,2SER,Repetir,Inseminación,110,FERNANDO,,0
2020-06-07,9021,2SER,Repetir,Inseminación/Toro,80,,sv 103,0
2020-06-07,1976,CA,>,,,,,0
2020-06-07,1910,1PAR,>,H,22,,,0
2020-06-06,1953,2SER,Repetir,Ovsynch,103,NELSON,5:20,0
2020-06-06,9141,VEN,,Enfermedad,,,cancer vulva,0
2020-06-06,1049,2SER,Repetir,Ovsynch,110,FERNANDO,04:30,0
2020-06-06,1904,2SER,Repetir,Ovsynch,102,FERNANDO,04:30,0
2020-06-06,2053,2SER,Repetir,Ovsynch,110,FERNANDO,05:00,0
2020-06-06,2042,2SER,Repetir,Ovsynch,103,NELSON,5:00,0
2020-06-06,6037,2SER,Repetir,Ovsynch,110,FERNANDO,04:30,0
2020-06-06,1987,2SER,Repetir,Ovsynch,110,FERNANDO,05:00,0
2020-06-06,1475,2SER,Repetir,Ovsynch,110,FERNANDO,04:30,0
2020-06-06,1716,2SER,Repetir,Ovsynch,112,NELSON,6:00,0
2020-06-05,1234,2SER,Repetir,Inseminación,103,NELSON,16:00,0
2020-06-05,241J,CA,>,,,,,0
2020-06-05,1271,1PAR,>,H,27,,,0
2020-06-05,1988,2SER,Repetir,Inseminación/Toro,80,JIMENEZ,sv102,0
2020-06-05,1641,CA,>,,,,,0
2020-06-04,1620,2SER,Repetir,Inseminación,1,FERNANDO,05:00,0
2020-06-04,239J,VEN,,Enfermedad,,,hemorragia,0
2020-06-04,9033,EXREP,SV,,,,ette sv toro,0
2020-06-03,2053,OVS2,32,,,,,0
2020-06-03,1642,ECO2,Positivo,,,,,0
2020-06-03,1374,ECOGR,Negativo Ovsyn,,,,,0
2020-06-03,9092,VAREP,,,,,,0
2020-06-03,9092,EXREP,INR,,,,,0
2020-06-03,250J,OVSYN,.,,,,,0
2020-06-03,257J,EXREP,OVSYN,,,,,0
2020-06-03,1656,DPR,Cargada,,1,,,0
2020-06-03,2037,2SER,Repetir,Inseminación/Toro,80,FERNANDO,,0
2020-06-03,1686,EXREP,INR,,,,,0
2020-06-03,2049,ECO2,Positivo,,,,,0
2020-06-03,2052,EXREP,OVSYN,,,,,0
2020-06-03,1951,ECO2,Positivo,,,,,0
2020-06-03,1641,EXREP,INR,,,,,0
2020-06-03,1641,VAREP,,,,,,0
2020-06-03,2052,OVSYN,.,,,,,0
2020-06-03,250J,EXREP,OVSYN,,,,,0
2020-06-03,1716,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1737,EXREP,INR,,,,,0
2020-06-03,1682,VAREP,,,,,,0
2020-06-03,1682,EXREP,INR,,,,,0
2020-06-03,2042,OVS2,32,,,,,0
2020-06-03,2042,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,2039,EXREP,O. LISOS,,,,belamyl,0
2020-06-03,2038,DP5,Cargada,,,,,0
2020-06-03,2035,OVSYN,.,,,,,0
2020-06-03,8100,EXREP,INR,,,,,0
2020-06-03,2035,EXREP,OVSYN,,,,,0
2020-06-03,2029,DPR,Cargada,,16,,,0
2020-06-03,1794B,DP5,Cargada,,,,,0
2020-06-03,242J,EXREP,SUCIA,,,,prostal 2 b oxi,0
2020-06-03,1940,EXREP,INR,,,,,0
2020-06-03,1045,EXREP,INR,,,,,0
2020-06-03,2053,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1600,OVSYN,.,,,,,0
2020-06-03,1700,DPR,Cargada Macho,,1,,"gemelos machos, gestavec",0
2020-06-03,1049,OVS2,32,,,,,0
2020-06-03,1443,ECOGR,Negativo,,,,revisar si lacto,0
2020-06-03,1470,OVSYN,.,,,,,0
2020-06-03,1607,EXREP,OVSYN,,,,dispositivo,0
2020-06-03,1607,EXREP,INR,,,,,0
2020-06-03,1470,EXREP,OVSYN,,,,,0
2020-06-03,1049,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1600,EXREP,OVSYN,,,,,0
2020-06-03,1629,EXREP,O. LISOS,,,,"oversel potental, dovenix",0
2020-06-03,1443,EXREP,Lactoinducir,,,,revisar si lacto,0
2020-06-03,1590,EXREP,O. LISOS,,,,"belamyl, coja",0
2020-06-03,1435,EXREP,INR,,,,,0
2020-06-03,6037,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1475,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,238J,OVSYN,.,,,,,0
2020-06-03,9188,OVSYN,.,,,,,0
2020-06-03,1475,OVS2,32,,,,,0
2020-06-03,1469,EXREP,SUCIA,,,,"prostal 2 b oxi, revisar si lacto",0
2020-06-03,9152,VAREP,,,,,,0
2020-06-03,1620,EXREP,OVSYN,,,,,0
2020-06-03,1620,OVSYN,.,,,,,0
2020-06-03,1607,OVSYN,.,,,,,0
2020-06-03,1634,ECOGR,Positivo,,110,,,0
2020-06-03,1481,DPR,Cargada Macho,,108,,,0
2020-06-03,6037,OVS2,32,,,,,0
2020-06-03,1036,EXREP,INR,,,,,0
2020-06-03,1374,OVSYN,.,,,,,0
2020-06-03,1582,EXREP,INR,,,,,0
2020-06-03,9152,EXREP,INR,,,,,0
2020-06-03,1827,EXREP,INR,,,,,0
2020-06-03,1864,EXREP,O. LISOS,,,,belamyl. potental,0
2020-06-03,1773B,DP5,Cargada,,,,,0
2020-06-03,1877,DPR,Cargada Macho,,1,,,0
2020-06-03,1947,EXREP,INR,,,,,0
2020-06-03,238J,ECOGR,Negativo Ovsyn,,,,QOD sv toro,0
2020-06-03,1932,DPR,Cargada Macho,,20,,,0
2020-06-03,1801,ECO2,Positivo,,,,,0
2020-06-03,1902,OVSYN,.,,,,,0
2020-06-03,1771,ECOGR,Negativo,,,,"o.lisos, belamyl",0
2020-06-03,1836,EXREP,INR,,,,,0
2020-06-03,1860,ECOGR,Positivo,,103,,,0
2020-06-03,1929,EXREP,INR,,,,"mal de alturas,",0
2020-06-03,1931,EXREP,INR,,,,,0
2020-06-03,1236,ECOGR,Positivo,,110,,,0
2020-06-03,1901,OVSYN,.,,,,,0
2020-06-03,1904,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1045,VAREP,,,,,,0
2020-06-03,9037,DPR,Cargada Macho,,103,,,0
2020-06-03,1944,DPSEC,Positivo,,,,,0
2020-06-03,1793B,EXREP,SUCIA,,,,ette 1 b oxi,0
2020-06-03,1896,DPSEC,Positivo,,,,,0
2020-06-03,1835,DPSEC,Positivo,,,,,0
2020-06-03,1904,OVS2,32,,,,,0
2020-06-03,1752B,EXREP,INR,,,,,0
2020-06-03,1825,EXREP,Lactoinducir,,,,Lacto,0
2020-06-03,1827,VAREP,,,,,,0
2020-06-03,2006,OVSYN,.,,,,,0
2020-06-03,1270,ECOGR,Dudoso,,,,si no carga venta,0
2020-06-03,1815,VAREP,,,,,,0
2020-06-03,1815,EXREP,INR,,,,,0
2020-06-03,1901,EXREP,OVSYN,,,,,0
2020-06-03,9033,ECO2,Negativo,,,,"revisar, 2 reabsorciones",0
2020-06-03,8215,OVSYN,.,,,,,0
2020-06-03,9033,REABS,0,,,,,0
2020-06-03,1883,EXREP,SUCIA,,,,ette,0
2020-06-03,9188,EXREP,OVSYN,,,,,0
2020-06-03,8215,EXREP,OVSYN,,,,,0
2020-06-03,257J,ECO2,Negativo,,,,,0
2020-06-03,1152,DP5,Cargada,,,,,0
2020-06-03,1716,OVS2,32,,,,,0
2020-06-03,1785B,ECOGR,Positivo,,108,,,0
2020-06-03,2006,EXREP,OVSYN,,,,,0
2020-06-03,1840,EXREP,INR,,,,,0
2020-06-03,257J,OVSYN,.,,,,,0
2020-06-03,1840,VAREP,,,,,,0
2020-06-03,1987,OVS2,32,,,,,0
2020-06-03,1987,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1994,ECOGR,Negativo,,,,"revisar si venta, cancer en lomo",0
2020-06-03,1695,EXREP,INR,,,,,0
2020-06-03,1993,2SER,Repetir,Inseminación,103,NELSON,5:30,0
2020-06-03,257J,REABS,0,,,,,0
2020-06-03,8010,CA,>,,,,,0
2020-06-03,8099,EXREP,Lactoinducir,,,,revisar si lacto,0
2020-06-03,1867,OVSYN,.,,,,,0
2020-06-03,1966,DPSEC,Positivo,,,,,0
2020-06-03,1976,ECOGR,Negativo,,,,"sucia, prostal no sv",0
2020-06-03,1707,ECO2,Positivo,,,,gestavec,0
2020-06-03,2058,OVSYN,.,,,,,0
2020-06-03,1854,EXREP,SUCIA,,,,prostal,0
2020-06-03,2058,ECOGR,Negativo Ovsyn,,,,,0
2020-06-03,1765B,EXREP,DESCARTE,,,,problema neurologico,0
2020-06-03,8096,ECOGR,Negativo,,,,"belamyl, potental",0
2020-06-03,1702,EXREP,O. LISOS,,,,"belamyl, potental",0
2020-06-03,9021,ECOGR,Negativo,,,,ette sv toro,0
2020-06-03,1902,ECOGR,Negativo Ovsyn,,,,CLI,0
2020-06-03,1953,ECOGR,Negativo  OVS2,,,,,0
2020-06-03,1953,OVS2,32,,,,,0
2020-06-03,1697,EXREP,SUCIA,,,,ette 2 b oxi,0
2020-06-03,1829,ECOGR,Negativo,,,,ette sv toro,0
2020-06-03,1765B,ABO,>,,,,,0
2020-06-03,1867,EXREP,OVSYN,,,,,0
2020-06-02,1769B,2SER,Repetir,Inseminación,110,FERNANDO,15:00,0
2020-06-02,1689,2SER,Repetir,Inseminación,102,FERNANDO,15:30,0
2020-06-02,1973,2SER,Repetir,Inseminación,102,FERNANDO,15:00,0
2020-06-02,1552,2SER,Repetir,Inseminación,110,FERNANDO,16:00,0
2020-06-01,1285,CA,>,,,,,0
2020-06-01,1999,2SER,Repetir,Inseminación,103,NELSON,15:30,0
2020-06-01,8100,CA,>,,,,,0
2020-05-31,20B,CA,>,,,,,0
2020-05-31,1518,CA,>,,,,,0
2020-05-31,1145,2SER,Repetir,Inseminación/Toro,80,,"sv102, 05:00",0
2020-05-31,1686,1PAR,>,H,80,,,0
2020-05-30,8010,SEC,ph Urinario,,,,,0
2020-05-30,1689,2SER,Repetir,Ovsynch,102,FERNANDO,4:30,0
2020-05-30,9165,SEC,ph Urinario,,,,,0
2020-05-30,2066,2SER,Repetir,Ovsynch,102,FERNANDO,5:00,0
2020-05-30,1184,2SER,Repetir,Ovsynch,110,FERNANDO,4:30,0
2020-05-30,1677,SEC,ph Urinario,,,,,0
2020-05-30,1718,2SER,Repetir,Ovsynch,102,FERNANDO,4:30,0
2020-05-30,9120,2SER,Repetir,Ovsynch,108,FERNANDO,4:30,0
2020-05-30,8099,SEC,ph Urinario,,,,,0
2020-05-30,1769,SEC,ph Urinario,,,,,0
2020-05-30,25B,SEC,ph Urinario,,,,,0
2020-05-30,2437,2SER,Repetir,Ovsynch,106,JIMENEZ,5:30,0
2020-05-30,2009,SEC,ph Urinario,,,,,0
2020-05-30,9176,2SER,Repetir,Ovsynch,108,FERNANDO,4:30,0
2020-05-30,2038,SEC,ph Urinario,,,,,0
2020-05-30,1618,SEC,ph Urinario,,,,,0
2020-05-30,1693,2SER,Repetir,Ovsynch,112,NELSON,5:30,0
2020-05-30,8093,SEC,ph Urinario,,,,,0
2020-05-30,1896,SEC,ph Urinario,,,,,0
2020-05-30,1846,SEC,ph Urinario,,,,,0
2020-05-30,1534,2SER,Repetir,Ovsynch,102,FERNANDO,4:30,0
2020-05-30,1743B,SEC,ph Urinario,,,,,0
2020-05-30,1875,2SER,Repetir,Ovsynch,110,FERNANDO,4:30,0
2020-05-30,1556,2SER,Repetir,Ovsynch,102,FERNANDO,4:30,0
2020-05-30,CC1,2SER,Repetir,Ovsynch,111,NELSON,5:15,0
2020-05-30,1658,2SER,Repetir,Inseminación,102,FERNANDO,15:00,0
2020-05-30,1660,SEC,ph Urinario,,,,,0
2020-05-30,1938,SEC,ph Urinario,,,,,0
2020-05-30,1784B,2SER,Repetir,Ovsynch,112,NELSON,6:05,0
2020-05-30,1880,2SER,Repetir,Ovsynch,111,NELSON,5:05,0
2020-05-30,9190,SEC,ph Urinario,,,,,0
2020-05-30,7177,SEC,ph Urinario,,,,,0
2020-05-29,1315,2SER,Repetir,Toro/Ovsynch,80,,sv 103 5:30,0
2020-05-28,1695,1PAR,>,H,101,,,0
2020-05-28,1738B,LACIN,-,Lactoinduccion/Grafo + Decadron,,,,0
2020-05-28,1134,LACIN,-,Lactoinduccion/Grafo + Azium,,,,0
2020-05-28,1508,LACIN,-,Lactoinduccion/Grafo + Azium,,,,0
2020-05-28,1967,LACIN,-,Lactoinduccion/Grafo + Azium,,,,0
2020-05-28,1071,LACIN,-,Lactoinduccion/Grafo + Azium,,,,0
2020-05-28,1514,LACIN,-,Lactoinduccion/Grafo + Decadron,,,,0
2020-05-28,264J,2SER,Repetir,Inseminación,112,NELSON,5:00,0
2020-05-27,242J,CA,>,,,,,0
2020-05-27,1867,CA,>,,,,,0
2020-05-27,1985,2SER,Repetir,Inseminación,103,NELSON,5:00,0
2020-05-26,2006,CA,>,,,,,0
2020-05-25,1825,CA,>,,,,,0
2020-05-25,20B,CA,>,,,,,0
2020-05-24,1947,1PAR,>,H,22,,,0
2020-05-24,1737,CA,>,,,,,0
2020-05-24,1085,2SER,Repetir,Inseminación,106,FERNANDO,16:00,0
2020-05-24,1178,2SER,Repetir,Inseminación,102,FERNANDO,17:30,0
2020-05-23,1788B,2SER,Repetir,Ovsynch,110,FERNANDO,5:30,0
2020-05-23,1420,2SER,Repetir,Inseminación,106,FERNANDO,5:00,0
2020-05-23,1787B,2SER,Repetir,Inseminación/Toro,80,,sv 102,0
2020-05-23,1743B,2SER,Repetir,Inseminación/Toro,80,,sv 102,0
2020-05-23,1435,1PAR,>,M,80,,,0
2020-05-23,1148,2SER,Repetir,Inseminación,102,FERNANDO,5:00,0
2020-05-23,1721,2SER,Repetir,Ovsynch,103,NELSON,5:00,0
2020-05-23,1866,2SER,Repetir,Ovsynch,108,FERNANDO,5:30,0
2020-05-23,1940,1PAR,>,M,101,,,0
2020-05-23,1812,2SER,Repetir,Ovsynch,110,FERNANDO,5:30,0
2020-05-22,1883,1PAR,>,M,22,,,0
2020-05-22,8138,2SER,Repetir,Inseminación,110,FERNANDO,5:00,0
2020-05-21,1184,CA,>,,,,,0
2020-05-21,1854,1PAR,>,H,29,,,0
2020-05-20,263J,ECOGR,Negativo,,,,,0
2020-05-20,1813,2SER,Repetir,Inseminación,102,FERNANDO,15:30,0
2020-05-20,1982,DPR,Cargada Macho,,1,,,0
2020-05-20,1836,1PAR,>,H,101,,venta es de casta,0
2020-05-20,1540,DPSEC,Positivo,,,,,0
2020-05-20,1840,EXREP,INR,,,,,0
2020-05-20,1813,OVS2,32,,,,,0
2020-05-20,1174,DPR,Cargada Macho,,1,,,0
2020-05-20,1867,ECO2,Negativo,,,,prostal no sv,0
2020-05-20,2023,EXREP,Lactoinducir,,,,,0
2020-05-20,1847,DPR,Cargada Hembra,,1,,,0
2020-05-20,1938,DP5,Cargada,,,,,0
2020-05-20,1979,DPSEC,Positivo,,,,,0
2020-05-20,2023,CA,>,,,,,0
2020-05-20,1957,DP5,Cargada,,,,,0
2020-05-20,1853,DP5,Cargada,,,,,0
2020-05-20,1315,ECOGR,Negativo Ovsyn,,,,,0
2020-05-20,2006,EXREP,INR,,,,,0
2020-05-20,1534,EXREP,OVSYN,,,,,0
2020-05-20,1813,ECOGR,Negativo  OVS2,,,,,0
2020-05-20,1264,EXREP,INR,,,,,0
2020-05-20,1534,OVSYN,.,,,,,0
2020-05-20,1827,EXREP,METRITIS,,,,prostal cefalexina 15x4,0
2020-05-20,2039,EXREP,O. LISOS,,,,oversel,0
2020-05-20,1264,VAREP,,,,,,0
